video,frame_count,width,height,question,answer,qid,type
3606518674,2622,640,480,is the man on guitar proficient in playing it,yes,1,DB
2414793083,2584,640,480,what did the baby do at the end of the video,hit the air,1,TC
6083954222,2642,640,1138,how did the boy in bue react when he saw a ball in the net near the end,push the ball through the net,13,TC
8564700985,1616,640,360,how does the boy look sitting on the swing at the beginning of the video,scared,1,CH
4687190278,1263,640,480,what does the lady in specs do after seeing the boy wants to look at the phone,put him down,6,TN
4890651848,1316,640,480,why did the person in white stretch his arm out near the middle,point to gun,8,CW
5315162570,2159,640,360,why does the baby lift up his feet for a while near the end of the video,stretching,5,CW
2427193811,1047,320,240,why does the cat sway its body as it watches the show in the middle,change sitting position,6,CW
3301442525,850,640,480,where is this place,car shop,7,DL
2579822208,786,640,512,what time of the day is this happening,morning,10,TC
2800751485,518,640,480,what is the colour of the tail of the fish swimming outside the cave,yellow,6,DO
7771703764,1658,640,360,how does the woman control the movement of the black dog,leash,0,CH
2405799604,1419,320,240,why are the boys in black collecting the ball being thrown by the boy in white jacket,give him more balls to throw,3,CW
4889389323,1118,640,362,why did the girl bend down after walking out of a house for a few steps,tie shoelace,6,CW
2867108011,876,640,480,how did the boys move the virtual ball around the screen,hit it with a toy,0,CH
3297776560,1373,320,240,why are the ladies moving their bodies in the video,dancing,2,CW
2990913920,482,500,375,why does the person touch the dog,to play with them,2,CW
5408515926,1176,640,360,what activity is the girl in white shirt doing,riding scooter,11,TC
3908679408,2697,640,362,what does the baby do after picking up a piece of food,put in mouth,6,TN
8442904731,986,640,360,where is this place,living room,9,DL
2625296233,2452,500,375,why did the boy look on his right after staring at his spoon,someone calls him,5,CW
6575303259,717,640,360,why did the girl in the middle lean forward after singing the birthday song,blow the cake,2,CW
6937124265,781,640,480,are the kitchen utenstils real or toy,toy,5,DB
9170253388,451,640,640,how many people are kayaking in the video,two,4,DC
10174423206,324,640,360,how many people are involved in the video,two,7,DC
2497715735,320,320,240,what did the man in green do after he finished dancing at the end of the video,leave hands of lady in blue,6,TN
3098368505,2694,640,480,why did the lady pass santa claus the present,to give to the boy,4,CW
3597467356,1138,640,362,why is the boy in white wet,he is in ocean,10,CW
2606751466,1435,320,240,why did the man in green look at the checkered shirt man s face,it was bloodied,11,CW
4759925924,794,640,360,how do the people keep the sun from hurting their eyes,wear sunglasses,2,CH
10945593344,2466,640,1138,what does the man in grey hold onto while standing,rope,2,TC
2499582434,670,480,270,where is the event being held,event hall,7,DL
4090707616,436,352,288,how did the adult got the dog s attention,showing the toy,8,CH
7171397887,1814,640,360,how did the man protect his head from injury,helmet,0,DO
7033407269,1332,640,360,how did the lady in dark shirt look while being served the food at the restaurant,excited,0,CH
6188074487,1378,480,360,how is the lady feeling in this video,feel relaxed and happy,6,TC
3982987927,423,640,480,why does the child touch the base of the phone with her right hand,maintain grip,1,CW
8308556521,388,604,1072,is the girl in orange dancing alone or to someone else in the video,someone else,2,DB
6988052870,439,640,360,why does the man walk away when the woman throws her hands,giving her space to perform,3,CW
5463556386,2160,640,424,why did the guy move his head while playing the guitar,engrossed in performance,8,CW
5573667855,662,640,362,why does the baby in blue approach the blue ball in front of him at the end of the video,catch it,2,CW
5849618622,1800,640,360,why did the green shirt man walk to fire,throw cigarettes,2,CW
4809420567,889,640,480,why did the man hang a small toy at the start,attract baby s attention,0,CW
3456999399,432,640,480,how many people are on the boat,three,7,DC
4801016360,1035,640,428,how does the baby prevent food spill onto her clothes,wear a bib,2,CH
5329653093,2250,640,480,what does the black dog do after the brown dog lies down in front of it,plays with the brown dog,10,TN
8629407761,977,640,1138,what does the baby do after uncover his face from the blanket,laugh,8,TN
5368243767,1679,640,1138,what is the colour of the vest that the woman was wearing,black,0,DO
4890651848,1316,640,480,what does the man in green do after he puts his hand in his pocket at the start,take bullets out,6,TN
4967363921,1525,640,480,how did the lady in blue clean her mouth at the start of the video,use napkin wipe,7,CH
3958390317,963,640,480,what did the man in black do after he stopped hammering the second time in the middle,move to see the other man,1,TN
6598464203,2250,640,480,what does the white cat do after jumping back across the white pillow the second time,pounce on black cat,1,TN
4486495295,481,640,428,how did the dog get his treat from the person behind the camera,ate from his hand,1,CH
4759925924,794,640,360,how does the man in black pretend to be a bull,pretend he has horns using fingers,0,CH
3914555606,1410,640,480,why did the lady in pink put the pedal into the water,move forward,3,CW
8306224570,484,640,430,what did the lady in white do with her phone after she used it,close the cover,2,TN
6141007489,1676,640,360,what does the girl in green pants do after running close to the ball at the start,pick ball up,5,TN
7796070742,1441,640,362,why do the people near the bench look at the man standing when he starts talking,paying attention,3,CW
5003718676,2250,640,480,why did the boy drive with the blue vehicle in circles,lose control of the car,6,CW
5597037980,1205,320,240,how did the boy pick up the bottle from the ground,squat down and picked it,5,CH
12719814563,855,640,480,what does the lady do while checking the documents,dancing,2,TC
4160188702,2115,640,480,why did the man go to the box,take out leaves,7,CW
5398268379,873,640,360,what did the girl in front of the cake do after she was kissed near the end,pick up the candle,3,TN
3076771705,534,640,480,why are there so many dishes in the sink,waiting to be clean,7,CW
6335208280,1248,640,384,how did the children react when the man grab them from the back,tried to attack him,7,TC
5773605089,1371,640,360,what did the woman in grey do after the child hit the orange block in at the start,crawl to the side,10,TN
4704121949,624,640,360,why did numbers blink up a while near the end,record timing,0,CW
4414047871,2697,640,480,who performs the dance steps first,girl in braids,6,DO
4943421690,1101,640,360,how many people are there,three,9,DC
5769549970,1131,640,360,what does the man in dark blue do after turning his head towards the police at the end,hit him,10,TN
2601243035,1271,320,240,why does the lady have her hand in front of the baby for,to protect the baby,3,CW
4752875872,1559,640,480,are the dogs wild or domesticated,domesticated,2,DB
8411367591,961,640,1138,how did the boy in green react to the man with black jacket at the beginning of the video,ignore,13,TC
4510471160,809,640,480,why does the boy start crawling towards the end,distracted,4,CW
4429343253,945,640,360,why does the smaller dog lie down at the end of the video,lick the ball,5,CW
3127612108,1596,640,480,why is the dog attached to the leash,lady to control dog,4,CW
2779715525,1206,640,480,what is the relationship between kid and man,parent and child,2,DO
3286387512,425,320,240,where are the people at,house,5,DL
11849389436,969,640,360,what is the relationship among the three people in the video,parents child,7,DO
6154068154,2250,640,360,is this a formal event,yes,0,DB
2446709374,618,640,428,which elephant crossed the road first,big elephant,0,DO
6412928509,373,640,480,why are there people walking outside the cage of the bird,visitors,0,CW
7835844714,1572,640,360,is this happening in a shore park,yes,6,DB
2454011165,571,320,240,why did two of the men turn around,dancing,9,CW
